Id,Prediction
1,7
2,7
3,4
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,4
18,7
19,4
20,4
21,7
22,4
23,7
24,4
25,7
26,7
27,4
28,7
29,4
30,7
31,4
32,4
33,4
34,3
35,6
36,7
37,1
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,7
46,7
47,2
48,6
49,4
50,4
51,7
52,6
53,6
54,6
55,4
56,3
57,6
58,1
59,6
60,2
61,4
62,3
63,6
64,2
65,4
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,7
75,6
76,4
77,7
78,6
79,7
80,5
81,5
82,7
83,4
84,4
85,2
86,7
87,4
88,3
89,2
90,3
91,6
92,4
93,4
94,4
95,3
96,6
97,3
98,3
99,3
100,6
101,6
102,6
103,3
104,6
105,3
106,3
107,6
108,6
109,6
110,6
111,6
112,1
113,2
114,4
115,3
116,3
117,6
118,3
119,2
120,2
121,4
122,3
123,3
124,6
125,3
126,3
127,3
128,4
129,3
130,6
131,3
132,1
133,2
134,4
135,7
136,6
137,3
138,2
139,2
140,4
141,5
142,5
143,6
144,3
145,1
146,2
147,4
148,3
149,3
150,6
151,3
152,2
153,2
154,4
155,5
156,6
157,3
158,3
159,4
160,6
161,3
162,6
163,3
164,1
165,1
166,4
167,7
168,5
169,6
170,3
171,1
172,2
173,4
174,3
175,5
176,6
177,3
178,2
179,2
180,4
181,6
182,3
183,6
184,6
185,5
186,2
187,4
188,6
189,6
190,1
191,2
192,4
193,7
194,6
195,3
196,1
197,2
198,4
199,5
200,3
201,6
202,3
203,2
204,2
205,4
206,6
207,3
208,6
209,3
210,2
211,2
212,4
213,6
214,5
215,6
216,4
217,4
218,3
219,3
220,6
221,1
222,4
223,6
224,5
225,6
226,2
227,1
228,4
229,3
230,3
231,2
232,1
233,4
234,5
235,6
236,2
237,7
238,7
239,4
240,5
241,3
242,2
243,1
244,1
245,4
246,5
247,3
248,2
249,7
250,7
251,2
252,2
253,1
254,1
255,5
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,4
265,4
266,1
267,5
268,2
269,3
270,7
271,3
272,4
273,6
274,6
275,3
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,7
289,7
290,7
291,7
292,7
293,7
294,7
295,5
296,5
297,1
298,5
299,7
300,5
301,6
302,6
303,3
304,6
305,1
306,1
307,1
308,1
309,1
310,2
311,1
312,1
313,1
314,5
315,1
316,7
317,7
318,7
319,7
320,7
321,6
322,7
323,7
324,7
325,4
326,7
327,7
328,2
329,2
330,1
331,2
332,2
333,7
334,4
