Id,majority,submit_non-normalized_linear,submit_non-normalized_poly2,submit_normalized_linear,submit_normalized_poly2,svm_poly2
1,7,7,7,7,7,7
2,7,5,7,7,7,5
3,4,4,7,4,7,6
4,7,7,7,7,7,7
5,7,7,7,7,7,7
6,7,7,7,1,7,7
7,7,7,7,4,7,7
8,7,7,7,7,7,7
9,7,7,7,7,7,7
10,7,7,7,7,7,7
11,7,7,7,7,7,7
12,7,7,7,7,7,7
13,7,7,7,1,7,1
14,7,7,7,7,7,7
15,7,7,7,7,7,7
16,7,7,4,6,7,7
17,4,7,4,4,4,7
18,7,7,7,7,7,7
19,7,2,7,7,7,4
20,4,4,4,4,4,4
21,7,7,7,7,7,7
22,4,4,7,4,4,4
23,7,7,7,7,7,7
24,4,4,7,4,4,1
25,7,7,7,7,7,6
26,7,7,7,7,7,7
27,4,4,4,4,4,4
28,7,7,7,7,7,7
29,4,4,4,4,4,4
30,7,7,7,7,7,7
31,4,4,4,4,4,4
32,4,4,4,4,4,4
33,4,3,4,6,6,4
34,2,2,2,2,7,4
35,1,1,5,1,7,2
36,7,5,7,7,7,7
37,2,2,2,1,1,2
38,2,2,2,1,1,2
39,1,1,1,1,1,2
40,2,2,2,2,2,2
41,2,2,2,2,2,2
42,2,2,2,2,2,2
43,2,2,2,2,2,2
44,2,2,2,2,2,2
45,7,7,7,7,7,7
46,1,1,1,1,7,1
47,2,2,2,2,2,2
48,1,3,1,1,7,1
49,7,7,7,7,7,4
50,4,4,4,4,4,4
51,7,7,7,7,7,7
52,6,6,7,6,6,6
53,6,6,6,6,6,6
54,7,7,7,7,7,7
55,4,4,4,4,4,4
56,7,7,7,5,7,7
57,7,7,7,7,7,7
58,1,1,1,1,1,1
59,7,7,7,7,7,7
60,2,2,2,2,2,1
61,7,7,7,7,7,7
62,3,3,3,3,7,3
63,6,6,6,6,6,6
64,7,2,7,1,7,7
65,4,4,4,4,4,4
66,6,6,6,6,6,7
67,6,6,6,3,6,6
68,7,7,7,6,7,7
69,7,3,7,6,7,7
70,6,6,6,1,7,7
71,7,7,7,6,7,7
72,7,7,7,6,7,7
73,6,6,6,6,6,6
74,7,7,7,7,7,7
75,7,7,7,7,7,7
76,4,4,4,4,4,4
77,7,7,7,7,7,7
78,6,6,6,6,6,6
79,7,7,7,7,7,7
80,1,5,1,5,1,1
81,5,5,5,5,5,1
82,7,7,7,7,7,7
83,4,4,4,4,4,4
84,4,4,4,4,4,4
85,2,2,2,2,2,2
86,7,7,7,7,7,7
87,7,7,7,4,7,4
88,2,2,2,2,2,2
89,2,2,2,2,2,2
90,7,5,7,3,7,7
91,6,6,7,6,7,5
92,4,4,4,4,4,4
93,4,4,4,4,4,4
94,4,4,4,4,4,4
95,7,5,7,3,7,7
96,7,5,7,5,7,7
97,5,5,7,3,7,5
98,5,5,5,5,7,7
99,5,5,2,5,7,7
100,6,6,6,6,6,6
101,6,6,6,6,6,6
102,6,6,6,6,6,6
103,5,5,5,1,1,5
104,7,7,6,7,7,6
105,3,3,3,6,7,3
106,3,3,3,7,7,3
107,7,6,6,7,7,7
108,7,5,3,7,6,7
109,6,6,6,6,6,6
110,6,6,6,6,6,6
111,6,6,6,6,6,6
112,1,1,1,1,1,1
113,2,2,2,2,2,2
114,4,4,4,4,4,4
115,7,7,7,7,7,3
116,5,5,5,3,5,5
117,6,6,6,6,6,6
118,6,3,6,6,6,3
119,2,1,2,2,2,1
120,2,2,2,2,2,2
121,4,4,4,4,4,4
122,7,7,1,7,7,3
123,5,5,5,3,5,3
124,6,6,6,6,6,6
125,6,3,6,6,6,3
126,1,1,1,1,1,1
127,5,3,5,5,5,1
128,4,4,4,4,4,4
129,5,5,5,5,5,5
130,6,6,6,6,6,6
131,2,2,2,2,2,2
132,1,1,1,1,1,1
133,1,2,1,1,2,1
134,4,4,4,4,4,4
135,7,7,7,7,7,7
136,6,6,6,6,6,6
137,2,2,5,2,2,2
138,1,1,2,1,1,1
139,2,2,2,2,2,2
140,4,4,4,4,4,4
141,7,5,7,7,7,1
142,5,5,5,5,5,5
143,6,3,6,6,6,6
144,3,2,3,3,3,1
145,1,1,1,1,1,1
146,2,2,2,2,2,2
147,4,4,4,4,4,4
148,7,7,7,7,7,5
149,5,5,5,5,5,5
150,6,6,6,6,6,6
151,3,3,3,3,3,3
152,2,2,2,2,2,2
153,2,2,2,2,2,2
154,4,4,4,4,4,4
155,5,5,2,1,2,5
156,6,6,6,6,6,6
157,3,3,3,5,5,3
158,3,3,1,5,5,3
159,4,4,4,4,4,4
160,7,7,7,5,5,3
161,5,5,5,5,5,3
162,3,3,6,3,3,6
163,3,3,3,3,3,3
164,1,1,1,2,1,1
165,1,2,1,2,1,1
166,4,3,4,4,4,4
167,7,7,7,5,7,7
168,5,5,5,5,5,3
169,6,6,6,6,6,6
170,3,3,6,3,3,3
171,1,1,1,1,1,1
172,2,2,2,2,2,2
173,4,4,4,4,4,4
174,7,7,7,7,7,7
175,1,1,1,1,1,1
176,6,6,6,6,6,6
177,3,3,3,3,3,3
178,1,1,2,1,2,1
179,2,2,2,2,2,2
180,4,4,4,4,4,4
181,7,7,7,7,7,7
182,5,5,5,5,5,5
183,6,6,6,6,6,6
184,6,6,6,6,6,6
185,5,5,5,5,5,5
186,2,2,2,2,2,2
187,4,4,4,4,4,4
188,7,6,7,7,7,3
189,6,6,6,6,6,6
190,1,1,1,1,1,1
191,2,2,2,2,2,2
192,4,4,4,4,4,4
193,7,7,7,7,7,7
194,6,6,6,6,6,6
195,3,3,3,3,3,3
196,1,1,1,1,1,1
197,2,2,2,2,2,2
198,4,4,4,4,4,4
199,7,7,7,7,7,1
200,5,5,5,5,5,5
201,6,6,6,6,6,6
202,3,3,3,3,3,3
203,2,2,2,2,2,2
204,2,2,2,1,2,2
205,4,4,4,4,4,4
206,7,7,7,7,7,5
207,5,5,5,5,5,5
208,6,6,6,6,6,6
209,3,3,3,3,6,3
210,2,2,2,2,2,2
211,2,2,2,2,2,2
212,4,4,4,4,4,4
213,7,7,7,7,7,7
214,5,5,5,5,5,5
215,6,6,6,6,6,6
216,4,4,4,4,4,4
217,4,4,4,4,4,4
218,5,5,5,5,5,3
219,6,6,6,3,6,6
220,3,3,3,3,3,3
221,1,1,1,1,1,1
222,4,4,4,4,4,4
223,7,7,7,6,7,7
224,5,5,5,5,5,5
225,6,6,6,6,6,3
226,7,7,7,1,7,7
227,7,7,7,7,7,5
228,4,5,4,2,4,7
229,5,5,5,5,5,5
230,3,3,3,3,3,3
231,2,2,7,2,2,7
232,1,1,1,1,1,1
233,4,4,4,4,4,4
234,5,5,5,1,5,5
235,7,7,7,7,7,3
236,2,2,2,2,2,1
237,7,7,7,7,7,7
238,1,1,7,1,7,1
239,4,4,4,4,4,4
240,5,5,5,5,5,5
241,3,3,3,7,3,3
242,2,2,2,2,2,2
243,5,5,5,5,5,5
244,1,1,1,1,1,1
245,4,4,4,4,4,4
246,5,5,7,5,5,5
247,3,3,3,3,3,3
248,2,2,2,2,2,2
249,7,7,7,7,7,7
250,7,7,7,7,7,7
251,1,1,1,1,1,3
252,1,1,1,1,7,2
253,1,1,1,1,1,1
254,1,1,1,1,1,1
255,7,3,7,3,7,7
256,7,7,7,7,7,7
257,7,7,7,7,7,7
258,7,7,7,7,7,7
259,7,7,7,7,7,7
260,7,7,7,7,7,7
261,7,7,7,7,7,7
262,7,7,7,7,7,7
263,7,5,7,7,7,7
264,4,4,2,4,4,4
265,#N/A,2,3,1,7,4
266,2,2,2,2,1,2
267,1,1,7,1,5,7
268,1,1,1,1,2,1
269,3,3,3,7,3,3
270,3,3,3,3,3,1
271,3,3,3,3,3,3
272,3,3,3,3,3,7
273,3,6,3,3,3,1
274,7,1,3,7,7,5
275,3,3,3,3,3,7
276,4,4,4,4,4,4
277,4,4,4,4,4,4
278,4,4,4,4,4,4
279,4,4,4,4,4,4
280,4,4,4,4,4,4
281,4,4,4,4,4,4
282,4,4,4,4,4,4
283,4,4,4,4,4,4
284,4,4,4,4,4,4
285,4,4,4,4,4,4
286,4,4,4,4,4,4
287,4,3,4,4,4,3
288,7,7,7,7,7,7
289,7,7,7,7,7,7
290,7,7,7,7,7,7
291,7,6,7,7,7,6
292,7,7,7,7,7,7
293,7,7,7,7,7,7
294,7,7,7,7,7,7
295,5,5,5,5,5,5
296,5,5,5,5,7,5
297,1,1,1,1,5,5
298,5,5,5,5,5,5
299,5,5,5,5,7,5
300,5,5,5,5,5,3
301,6,3,6,6,6,6
302,6,6,6,6,6,6
303,3,3,3,3,3,7
304,6,6,6,6,6,6
305,1,1,1,1,1,1
306,1,1,1,1,1,1
307,1,1,1,1,1,7
308,1,1,1,1,1,1
309,1,1,1,1,1,1
310,1,1,1,1,1,1
311,7,7,1,7,7,1
312,2,2,2,2,7,2
313,1,1,1,1,1,1
314,7,7,7,7,7,7
315,7,7,7,7,7,1
316,7,7,7,7,7,7
317,7,7,7,7,7,7
318,7,5,7,7,7,7
319,7,7,7,7,7,7
320,7,7,7,7,7,7
321,7,7,7,7,7,2
322,7,7,7,7,7,7
323,7,7,7,7,7,7
324,7,1,7,7,7,7
325,4,3,4,6,7,4
326,7,7,7,7,7,7
327,7,7,7,7,7,7
328,2,2,2,2,2,2
329,2,2,2,2,2,2
330,2,5,2,1,2,1
331,2,2,2,2,2,2
332,1,2,1,1,1,2
333,2,2,2,7,7,2
334,4,1,4,7,4,4
335,2,2,2,2,2,2
336,4,1,4,2,4,4
337,7,2,7,2,7,7
338,2,2,2,2,2,2
339,3,3,3,3,3,3
340,3,3,3,6,3,4
341,3,3,3,3,3,7
342,3,3,3,3,3,3
343,3,3,3,3,3,3
344,6,6,3,6,6,6
345,6,3,3,6,6,6
346,7,7,7,7,7,6
347,3,3,3,3,3,6
348,4,4,4,4,4,4
349,4,4,4,4,4,4
350,4,4,4,4,4,4
351,4,3,4,4,4,4
352,4,4,4,4,4,4
353,4,3,4,3,4,4
354,4,4,4,4,4,4
355,3,3,3,1,4,3
356,4,4,4,4,4,4
357,4,4,4,4,4,4
358,4,4,4,6,4,4
359,4,4,4,4,4,4
360,4,7,4,4,4,4
361,4,4,4,4,4,4
362,4,4,4,4,4,4
363,7,7,7,7,7,7
364,7,7,7,7,7,7
365,7,7,7,7,7,7
366,7,7,7,1,7,7
367,7,7,7,5,7,1
368,7,1,7,7,7,7
369,7,7,7,7,7,7
370,7,7,7,7,7,7
371,7,7,7,7,7,7
372,7,1,7,7,7,7
373,7,7,7,7,7,7
374,7,7,7,7,7,7
375,5,5,7,1,7,5
376,5,5,5,5,5,5
377,5,5,5,5,1,7
378,5,5,5,5,7,5
379,5,5,7,5,7,5
380,5,5,1,1,7,5
381,4,4,4,2,4,2
382,2,2,7,2,2,7
383,7,7,7,7,7,3
384,6,6,6,6,6,3
385,3,3,3,3,3,7
386,6,6,6,6,6,6
387,3,3,3,3,3,3
388,6,6,3,6,6,7
389,6,6,6,6,6,7
390,1,1,1,1,1,1
391,2,1,2,1,2,2
392,1,1,7,3,1,3
393,4,4,4,4,4,4
394,7,7,7,5,7,7
395,3,3,3,3,3,3
396,7,7,7,7,7,7
397,5,5,5,5,5,5
398,4,4,4,4,4,3
399,7,7,7,7,7,7
400,7,7,7,7,7,7
401,5,5,5,2,2,5
402,6,6,7,6,7,2
403,4,4,4,4,4,4
404,2,2,2,2,7,5
405,3,3,3,3,3,7
406,3,3,3,3,7,7
407,7,3,3,7,7,7
408,3,3,3,3,3,3
409,3,3,3,3,3,3
410,4,4,4,4,4,4
411,4,4,4,4,4,4
412,3,3,3,3,3,3
413,7,7,7,7,7,7
414,7,7,3,7,7,7
415,3,5,3,3,7,2
416,2,2,2,2,2,2
417,7,7,3,7,7,7
418,2,2,3,2,5,3
419,0,0,0,0,0,0
420,0,0,0,0,0,0
421,0,0,0,0,0,0
422,0,0,0,0,0,0
423,0,0,0,0,0,0
424,0,0,0,0,0,0
425,0,0,0,0,0,0
426,0,0,0,0,0,0
427,0,0,0,0,0,0
428,0,0,0,0,0,0
429,0,0,0,0,0,0
430,0,0,0,0,0,0
431,0,0,0,0,0,0
432,0,0,0,0,0,0
433,0,0,0,0,0,0
434,0,0,0,0,0,0
435,0,0,0,0,0,0
436,0,0,0,0,0,0
437,0,0,0,0,0,0
438,0,0,0,0,0,0
439,0,0,0,0,0,0
440,0,0,0,0,0,0
441,0,0,0,0,0,0
442,0,0,0,0,0,0
443,0,0,0,0,0,0
444,0,0,0,0,0,0
445,0,0,0,0,0,0
446,0,0,0,0,0,0
447,0,0,0,0,0,0
448,0,0,0,0,0,0
449,0,0,0,0,0,0
450,0,0,0,0,0,0
451,0,0,0,0,0,0
452,0,0,0,0,0,0
453,0,0,0,0,0,0
454,0,0,0,0,0,0
455,0,0,0,0,0,0
456,0,0,0,0,0,0
457,0,0,0,0,0,0
458,0,0,0,0,0,0
459,0,0,0,0,0,0
460,0,0,0,0,0,0
461,0,0,0,0,0,0
462,0,0,0,0,0,0
463,0,0,0,0,0,0
464,0,0,0,0,0,0
465,0,0,0,0,0,0
466,0,0,0,0,0,0
467,0,0,0,0,0,0
468,0,0,0,0,0,0
469,0,0,0,0,0,0
470,0,0,0,0,0,0
471,0,0,0,0,0,0
472,0,0,0,0,0,0
473,0,0,0,0,0,0
474,0,0,0,0,0,0
475,0,0,0,0,0,0
476,0,0,0,0,0,0
477,0,0,0,0,0,0
478,0,0,0,0,0,0
479,0,0,0,0,0,0
480,0,0,0,0,0,0
481,0,0,0,0,0,0
482,0,0,0,0,0,0
483,0,0,0,0,0,0
484,0,0,0,0,0,0
485,0,0,0,0,0,0
486,0,0,0,0,0,0
487,0,0,0,0,0,0
488,0,0,0,0,0,0
489,0,0,0,0,0,0
490,0,0,0,0,0,0
491,0,0,0,0,0,0
492,0,0,0,0,0,0
493,0,0,0,0,0,0
494,0,0,0,0,0,0
495,0,0,0,0,0,0
496,0,0,0,0,0,0
497,0,0,0,0,0,0
498,0,0,0,0,0,0
499,0,0,0,0,0,0
500,0,0,0,0,0,0
501,0,0,0,0,0,0
502,0,0,0,0,0,0
503,0,0,0,0,0,0
504,0,0,0,0,0,0
505,0,0,0,0,0,0
506,0,0,0,0,0,0
507,0,0,0,0,0,0
508,0,0,0,0,0,0
509,0,0,0,0,0,0
510,0,0,0,0,0,0
511,0,0,0,0,0,0
512,0,0,0,0,0,0
513,0,0,0,0,0,0
514,0,0,0,0,0,0
515,0,0,0,0,0,0
516,0,0,0,0,0,0
517,0,0,0,0,0,0
518,0,0,0,0,0,0
519,0,0,0,0,0,0
520,0,0,0,0,0,0
521,0,0,0,0,0,0
522,0,0,0,0,0,0
523,0,0,0,0,0,0
524,0,0,0,0,0,0
525,0,0,0,0,0,0
526,0,0,0,0,0,0
527,0,0,0,0,0,0
528,0,0,0,0,0,0
529,0,0,0,0,0,0
530,0,0,0,0,0,0
531,0,0,0,0,0,0
532,0,0,0,0,0,0
533,0,0,0,0,0,0
534,0,0,0,0,0,0
535,0,0,0,0,0,0
536,0,0,0,0,0,0
537,0,0,0,0,0,0
538,0,0,0,0,0,0
539,0,0,0,0,0,0
540,0,0,0,0,0,0
541,0,0,0,0,0,0
542,0,0,0,0,0,0
543,0,0,0,0,0,0
544,0,0,0,0,0,0
545,0,0,0,0,0,0
546,0,0,0,0,0,0
547,0,0,0,0,0,0
548,0,0,0,0,0,0
549,0,0,0,0,0,0
550,0,0,0,0,0,0
551,0,0,0,0,0,0
552,0,0,0,0,0,0
553,0,0,0,0,0,0
554,0,0,0,0,0,0
555,0,0,0,0,0,0
556,0,0,0,0,0,0
557,0,0,0,0,0,0
558,0,0,0,0,0,0
559,0,0,0,0,0,0
560,0,0,0,0,0,0
561,0,0,0,0,0,0
562,0,0,0,0,0,0
563,0,0,0,0,0,0
564,0,0,0,0,0,0
565,0,0,0,0,0,0
566,0,0,0,0,0,0
567,0,0,0,0,0,0
568,0,0,0,0,0,0
569,0,0,0,0,0,0
570,0,0,0,0,0,0
571,0,0,0,0,0,0
572,0,0,0,0,0,0
573,0,0,0,0,0,0
574,0,0,0,0,0,0
575,0,0,0,0,0,0
576,0,0,0,0,0,0
577,0,0,0,0,0,0
578,0,0,0,0,0,0
579,0,0,0,0,0,0
580,0,0,0,0,0,0
581,0,0,0,0,0,0
582,0,0,0,0,0,0
583,0,0,0,0,0,0
584,0,0,0,0,0,0
585,0,0,0,0,0,0
586,0,0,0,0,0,0
587,0,0,0,0,0,0
588,0,0,0,0,0,0
589,0,0,0,0,0,0
590,0,0,0,0,0,0
591,0,0,0,0,0,0
592,0,0,0,0,0,0
593,0,0,0,0,0,0
594,0,0,0,0,0,0
595,0,0,0,0,0,0
596,0,0,0,0,0,0
597,0,0,0,0,0,0
598,0,0,0,0,0,0
599,0,0,0,0,0,0
600,0,0,0,0,0,0
601,0,0,0,0,0,0
602,0,0,0,0,0,0
603,0,0,0,0,0,0
604,0,0,0,0,0,0
605,0,0,0,0,0,0
606,0,0,0,0,0,0
607,0,0,0,0,0,0
