Id,Prediction
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,4
18,7
19,7
20,4
21,7
22,4
23,7
24,4
25,7
26,7
27,4
28,7
29,4
30,7
31,4
32,4
33,6
34,7
35,7
36,7
37,1
38,1
39,1
40,2
41,2
42,2
43,2
44,2
45,7
46,7
47,2
48,7
49,7
50,4
51,7
52,6
53,6
54,7
55,4
56,7
57,7
58,1
59,7
60,2
61,7
62,7
63,6
64,7
65,4
66,6
67,6
68,7
69,7
70,7
71,7
72,7
73,6
74,7
75,7
76,4
77,7
78,6
79,7
80,1
81,5
82,7
83,4
84,4
85,2
86,7
87,7
88,2
89,2
90,7
91,7
92,4
93,4
94,4
95,7
96,7
97,7
98,7
99,7
100,6
101,6
102,6
103,1
104,7
105,7
106,7
107,7
108,6
109,6
110,6
111,6
112,1
113,2
114,4
115,7
116,5
117,6
118,6
119,2
120,2
121,4
122,7
123,5
124,6
125,6
126,1
127,5
128,4
129,5
130,6
131,2
132,1
133,2
134,4
135,7
136,6
137,2
138,1
139,2
140,4
141,7
142,5
143,6
144,3
145,1
146,2
147,4
148,7
149,5
150,6
151,3
152,2
153,2
154,4
155,2
156,6
157,5
158,5
159,4
160,5
161,5
162,3
163,3
164,1
165,1
166,4
167,7
168,5
169,6
170,3
171,1
172,2
173,4
174,7
175,1
176,6
177,3
178,2
179,2
180,4
181,7
182,5
183,6
184,6
185,5
186,2
187,4
188,7
189,6
190,1
191,2
192,4
193,7
194,6
195,3
196,1
197,2
198,4
199,7
200,5
201,6
202,3
203,2
204,2
205,4
206,7
207,5
208,6
209,6
210,2
211,2
212,4
213,7
214,5
215,6
216,4
217,4
218,5
219,6
220,3
221,1
222,4
223,7
224,5
225,6
226,7
227,7
228,4
229,5
230,3
231,2
232,1
233,4
234,5
235,7
236,2
237,7
238,7
239,4
240,5
241,3
242,2
243,5
244,1
245,4
246,5
247,3
248,2
249,7
250,7
251,1
252,7
253,1
254,1
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,4
265,7
266,1
267,5
268,2
269,3
270,3
271,3
272,3
273,3
274,7
275,3
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,7
289,7
290,7
291,7
292,7
293,7
294,7
295,5
296,7
297,5
298,5
299,7
300,5
301,6
302,6
303,3
304,6
305,1
306,1
307,1
308,1
309,1
310,1
311,7
312,7
313,1
314,7
315,7
316,7
317,7
318,7
319,7
320,7
321,7
322,7
323,7
324,7
325,7
326,7
327,7
328,2
329,2
330,2
331,2
332,1
333,7
334,4
