Id,Prediction
1,7
2,5
3,6
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,1
14,7
15,7
16,7
17,7
18,7
19,4
20,4
21,7
22,4
23,7
24,1
25,6
26,7
27,4
28,7
29,4
30,7
31,4
32,4
33,4
34,2
35,5
36,7
37,2
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,7
46,1
47,2
48,1
49,4
50,4
51,7
52,6
53,6
54,7
55,4
56,7
57,7
58,1
59,7
60,1
61,7
62,3
63,6
64,7
65,4
66,6
67,6
68,7
69,7
70,7
71,7
72,7
73,6
74,7
75,7
76,4
77,7
78,6
79,7
80,1
81,5
82,7
83,4
84,4
85,2
86,7
87,4
88,2
89,2
90,5
91,5
92,4
93,4
94,4
95,7
96,7
97,5
98,7
99,7
100,6
101,6
102,6
103,5
104,6
105,3
106,3
107,6
108,7
109,6
110,6
111,6
112,1
113,2
114,4
115,5
116,5
117,3
118,3
119,1
120,2
121,4
122,3
123,3
124,6
125,3
126,1
127,1
128,4
129,3
130,6
131,2
132,1
133,1
134,4
135,1
136,6
137,2
138,1
139,2
140,4
141,1
142,5
143,3
144,1
145,1
146,2
147,4
148,1
149,5
150,6
151,3
152,2
153,2
154,4
155,5
156,6
157,7
158,3
159,4
160,3
161,3
162,6
163,3
164,1
165,1
166,3
167,7
168,3
169,6
170,3
171,1
172,2
173,4
174,5
175,1
176,3
177,3
178,1
179,2
180,4
181,7
182,5
183,6
184,3
185,5
186,2
187,4
188,3
189,6
190,1
191,2
192,4
193,7
194,6
195,3
196,1
197,2
198,4
199,1
200,5
201,6
202,3
203,2
204,2
205,4
206,7
207,5
208,6
209,3
210,2
211,2
212,5
213,7
214,5
215,6
216,4
217,4
218,3
219,6
220,3
221,1
222,4
223,7
224,5
225,3
226,2
227,5
228,7
229,5
230,3
231,7
232,1
233,4
234,5
235,3
236,1
237,7
238,1
239,4
240,5
241,3
242,2
243,5
244,1
245,4
246,5
247,3
248,2
249,7
250,7
251,3
252,2
253,1
254,1
255,6
256,7
257,6
258,7
259,7
260,7
261,7
262,7
263,7
264,2
265,4
266,2
267,4
268,1
269,6
270,5
271,6
272,7
273,1
274,5
275,7
276,3
277,4
278,3
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,3
288,6
289,7
290,7
291,3
292,7
293,7
294,3
295,5
296,5
297,5
298,5
299,7
300,5
301,6
302,6
303,7
304,6
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,4
314,7
315,1
316,7
317,7
318,7
319,7
320,7
321,2
322,7
323,7
324,4
325,4
326,7
327,7
328,2
329,2
330,1
331,2
332,2
333,4
334,4
335,2
336,4
337,7
338,2
339,3
340,3
341,6
342,3
343,3
344,6
345,6
346,6
347,6
348,4
349,4
350,4
351,4
352,4
353,3
354,4
355,3
356,4
357,4
358,4
359,4
360,4
361,4
362,4
363,7
364,7
365,7
366,7
367,1
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,5
376,5
377,1
378,5
379,5
380,1
381,4
382,7
383,5
384,6
385,6
386,6
387,3
388,7
389,7
390,1
391,4
392,3
393,4
394,1
395,3
396,7
397,5
398,3
399,7
400,7
401,5
402,2
403,4
404,7
405,7
406,7
407,7
408,3
409,3
410,4
411,4
412,3
413,7
414,7
415,7
416,1
417,7
418,3
419,1
420,7
421,6
422,7
423,7
424,7
425,1
426,7
427,4
428,7
429,4
430,4
431,4
432,7
433,4
434,7
435,5
436,4
437,7
438,4
439,4
440,4
441,7
442,4
443,7
444,4
445,7
446,4
447,7
448,4
449,7
450,4
451,7
452,7
453,4
454,7
455,7
456,7
457,7
458,4
459,7
460,7
461,7
462,4
463,4
464,7
465,7
466,7
467,7
468,5
469,7
470,7
471,4
472,7
473,7
474,7
475,7
476,7
477,7
478,7
479,7
480,7
481,7
482,5
483,7
484,5
485,7
486,7
487,7
488,5
489,7
490,7
491,7
492,7
493,7
494,7
495,7
496,7
497,7
498,6
499,7
500,4
501,4
502,7
503,3
504,4
505,7
506,7
507,7
508,4
509,7
510,4
511,5
512,7
513,7
514,7
515,1
516,4
517,7
518,7
519,7
520,4
521,7
522,7
523,7
524,7
525,4
526,7
527,7
528,7
529,7
530,4
531,4
532,7
533,4
534,7
535,4
536,7
537,4
538,7
539,4
540,7
541,4
542,7
543,4
544,7
545,4
546,7
547,4
548,7
549,4
550,7
551,4
552,7
553,4
554,5
555,6
556,5
557,1
558,1
559,7
560,6
561,5
562,7
563,1
564,6
565,6
566,1
567,4
568,7
569,6
570,5
571,6
572,7
573,1
574,1
575,1
576,2
577,2
578,2
579,2
580,7
581,7
582,1
583,2
584,6
585,5
586,5
587,5
588,4
589,7
590,3
591,6
592,7
593,7
594,1
595,1
596,7
597,4
598,6
599,7
600,7
601,5
602,1
603,4
604,1
605,7
606,6
607,7
608,4
609,2
610,6
611,7
612,5
613,5
614,5
615,1
616,5
617,4
618,5
619,4
620,5
621,5
622,5
623,2
624,6
625,6
626,7
627,2
628,7
629,4
630,6
631,7
632,3
633,5
634,2
635,7
636,6
637,4
638,5
639,2
